Frequency_GHz,S21_Magnitude_dB,S21_Phase_deg
0.001,-0.0,-0.001
0.009007,-0.0,-0.0087
0.017014,-0.0,-0.0164
0.025021,-0.0,-0.0241
0.033028,-0.0,-0.0318
0.041035,-0.0,-0.0395
0.049042,-0.0,-0.0472
0.057049,-0.0,-0.0549
0.065056,-0.0,-0.0626
0.073063,-0.0,-0.0703
0.08107,-0.0,-0.0779
0.089077,-0.0,-0.0856
0.097084,-0.0,-0.0933
0.105091,-0.0,-0.101
0.113098,-0.0,-0.1087
0.121105,-0.0,-0.1164
0.129112,-0.0,-0.1241
0.137119,-0.0,-0.1318
0.145126,-0.0,-0.1395
0.153133,-0.0,-0.1472
0.16114,-0.0,-0.1549
0.169147,-0.0,-0.1626
0.177154,-0.0,-0.1703
0.185161,-0.0,-0.178
0.193168,-0.0,-0.1857
0.201175,-0.0,-0.1934
0.209182,-0.0,-0.2011
0.217189,-0.0,-0.2088
0.225196,-0.0,-0.2165
0.233203,-0.0,-0.2242
0.24121,-0.0,-0.2319
0.249217,-0.0,-0.2396
0.257224,-0.0,-0.2473
0.265231,-0.0,-0.255
0.273238,-0.0,-0.2627
0.281245,-0.0,-0.2704
0.289252,-0.0,-0.2781
0.297259,-0.0,-0.2858
0.305266,-0.0,-0.2935
0.313273,-0.0,-0.3012
0.32128,-0.0,-0.3089
0.329287,-0.0001,-0.3166
0.337294,-0.0001,-0.3243
0.345301,-0.0001,-0.332
0.353308,-0.0001,-0.3397
0.361315,-0.0001,-0.3474
0.369322,-0.0001,-0.3551
0.377329,-0.0001,-0.3628
0.385336,-0.0001,-0.3705
0.393343,-0.0001,-0.3782
0.40135,-0.0001,-0.3859
0.409357,-0.0001,-0.3936
0.417364,-0.0001,-0.4013
0.425371,-0.0001,-0.409
0.433378,-0.0001,-0.4167
0.441385,-0.0001,-0.4244
0.449392,-0.0001,-0.4321
0.457399,-0.0001,-0.4398
0.465406,-0.0001,-0.4475
0.473413,-0.0001,-0.4552
0.48142,-0.0001,-0.4629
0.489427,-0.0001,-0.4706
0.497434,-0.0001,-0.4783
0.505441,-0.0001,-0.486
0.513448,-0.0001,-0.4937
0.521455,-0.0001,-0.5014
0.529462,-0.0001,-0.5091
0.537469,-0.0001,-0.5168
0.545476,-0.0001,-0.5245
