pin_name	x	y
soc_740	3386.79572	784.6272
soc_733	3700.39572	946.0675
soc_734	3543.59572	946.06848
soc_752	3543.59572	300.30336
soc_108	93.99572	2720.28498
soc_115	721.19572	2881.72626
soc_122	721.19572	3204.60882
soc_124	250.79572	3366.0501
soc_125	407.59572	3366.0501
soc_126	564.39572	3366.0501
soc_448	93.99572	4629.24462
soc_465	721.19572	4467.80334
soc_468	93.99572	4467.80334
soc_466	564.39572	4467.80334
soc_467	250.79572	4467.80334
soc_488	93.99572	4306.36206
soc_112	93.99572	2881.72626
soc_487	250.79572	4306.36206
soc_508	93.99572	4144.92078
soc_507	250.79572	4144.92078
soc_505	721.19572	4144.92078
soc_506	564.39572	4144.92078
soc_528	93.99572	3983.4795
soc_527	250.79572	3983.4795
soc_526	564.39572	3983.4795
soc_114	564.39572	2881.72626
soc_113	250.79572	2881.72626
soc_116	93.99572	3043.16754
soc_117	250.79572	3043.16754
soc_120	250.79572	3204.60882
soc_121	564.39572	3204.60882
soc_123	93.99572	3366.0501
soc_109	250.79572	2720.28498
soc_447	250.79572	4629.24462
soc_814	910.27104	3586.81568
soc_812	766.92252	3665.21568
soc_735	3386.79572	946.06848
soc_119	721.19572	3043.16754
soc_485	721.19572	4306.36206
soc_118	564.39572	3043.16754
soc_486	564.39572	4306.36206
soc_110	564.39572	2720.28498
soc_111	721.19572	2720.28498
soc_446	564.39572	4629.24462
soc_445	721.19572	4629.24462
soc_48	93.99572	298.66578
soc_49	250.79572	298.66578
soc_62	564.39572	782.98962
soc_63	721.19572	782.98962
soc_68	93.99572	1105.87218
soc_69	250.79572	1105.87218
soc_70	564.39572	1105.87218
soc_71	721.19572	1105.87218
soc_72	93.99572	1267.31346
soc_73	250.79572	1267.31346
soc_74	564.39572	1267.31346
soc_75	721.19572	1267.31346
soc_50	564.39572	298.66578
soc_80	93.99572	1590.19602
soc_81	250.79572	1590.19602
soc_82	564.39572	1590.19602
soc_83	721.19572	1590.19602
soc_84	93.99572	1751.6373
soc_85	250.79572	1751.6373
soc_86	564.39572	1751.6373
soc_87	721.19572	1751.6373
soc_92	93.99572	2074.51986
soc_93	250.79572	2074.51986
soc_51	721.19572	298.66578
soc_94	564.39572	2074.51986
soc_95	721.19572	2074.51986
soc_762	93.99572	7050.86382
soc_763	250.79572	7050.86382
soc_764	564.39572	7050.86382
soc_765	721.19572	7050.86382
soc_188	93.99572	6727.98126
soc_187	250.79572	6727.98126
soc_186	564.39572	6727.98126
soc_185	721.19572	6727.98126
soc_56	93.99572	621.54834
soc_208	93.99572	6566.53998
soc_207	250.79572	6566.53998
soc_206	564.39572	6566.53998
soc_205	721.19572	6566.53998
soc_248	93.99572	6243.65742
soc_247	250.79572	6243.65742
soc_246	564.39572	6243.65742
soc_245	721.19572	6243.65742
soc_268	93.99572	6082.21614
soc_267	250.79572	6082.21614
soc_57	250.79572	621.54834
soc_266	564.39572	6082.21614
soc_265	721.19572	6082.21614
soc_308	93.99572	5759.33358
soc_307	250.79572	5759.33358
soc_306	564.39572	5759.33358
soc_305	721.19572	5759.33358
soc_328	93.99572	5597.8923
soc_327	250.79572	5597.8923
soc_326	564.39572	5597.8923
soc_325	721.19572	5597.8923
soc_58	564.39572	621.54834
soc_368	93.99572	5275.00974
soc_367	250.79572	5275.00974
soc_366	564.39572	5275.00974
soc_365	721.19572	5275.00974
soc_59	721.19572	621.54834
soc_60	93.99572	782.98962
soc_61	250.79572	782.98962
soc_52	93.99572	460.10706
soc_64	93.99572	944.4309
soc_288	93.99572	5920.77486
soc_348	93.99572	5436.45102
soc_165	721.19572	6889.42254
soc_225	721.19572	6405.0987
soc_285	721.19572	5920.77486
soc_345	721.19572	5436.45102
soc_76	93.99572	1428.75474
soc_88	93.99572	1913.07858
soc_55	721.19572	460.10706
soc_67	721.19572	944.4309
soc_79	721.19572	1428.75474
soc_91	721.19572	1913.07858
soc_168	93.99572	6889.42254
soc_228	93.99572	6405.0987
soc_53	250.79572	460.10706
soc_65	250.79572	944.4309
soc_287	250.79572	5920.77486
soc_347	250.79572	5436.45102
soc_166	564.39572	6889.42254
soc_226	564.39572	6405.0987
soc_286	564.39572	5920.77486
soc_346	564.39572	5436.45102
soc_77	250.79572	1428.75474
soc_89	250.79572	1913.07858
soc_54	564.39572	460.10706
soc_66	564.39572	944.4309
soc_78	564.39572	1428.75474
soc_90	564.39572	1913.07858
soc_167	250.79572	6889.42254
soc_227	250.79572	6405.0987
soc_819	910.27104	3743.61568
soc_96	93.99572	2235.96114
soc_97	250.79572	2235.96114
soc_386	564.39572	5113.56846
soc_385	721.19572	5113.56846
soc_428	93.99572	4790.6859
soc_427	250.79572	4790.6859
soc_426	564.39572	4790.6859
soc_425	721.19572	4790.6859
soc_98	564.39572	2235.96114
soc_99	721.19572	2235.96114
soc_104	93.99572	2558.8437
soc_105	250.79572	2558.8437
soc_106	564.39572	2558.8437
soc_107	721.19572	2558.8437
soc_388	93.99572	5113.56846
soc_387	250.79572	5113.56846
soc_100	93.99572	2397.40242
soc_103	721.19572	2397.40242
soc_408	93.99572	4952.12718
soc_405	721.19572	4952.12718
soc_101	250.79572	2397.40242
soc_102	564.39572	2397.40242
soc_407	250.79572	4952.12718
soc_406	564.39572	4952.12718
soc_813	766.92252	3508.41568
soc_818	766.92252	3822.01568
soc_525	721.19572	3983.4795
soc_802	1034.79572	7050.86382
soc_810	407.59572	3660.59694
soc_817	564.39572	3822.03822
soc_822	877.99572	3983.4795
soc_824	1191.59572	3983.4795
soc_827	1034.79572	4144.92078
soc_830	877.99572	4306.36206
soc_832	1191.59572	4306.36206
soc_835	1034.79572	4467.80334
soc_838	877.99572	4629.24462
soc_840	1191.59572	4629.24462
soc_843	1034.79572	4790.6859
soc_846	877.99572	4952.12718
soc_848	1191.59572	4952.12718
soc_851	1034.79572	5113.56846
soc_854	877.99572	5275.00974
soc_856	1191.59572	5275.00974
soc_859	1034.79572	5436.45102
soc_862	877.99572	5597.8923
soc_864	1191.59572	5597.8923
soc_867	1034.79572	5759.33358
soc_870	877.99572	5920.77486
soc_872	1191.59572	5920.77486
soc_875	1034.79572	6082.21614
soc_878	877.99572	6243.65742
soc_880	1191.59572	6243.65742
soc_883	1034.79572	6405.0987
soc_886	877.99572	6566.53998
soc_888	1191.59572	6566.53998
soc_891	1034.79572	6727.98126
soc_894	877.99572	6889.42254
soc_896	1191.59572	6889.42254
soc_951	1191.59572	3366.0501
soc_953	877.99572	3366.0501
soc_955	1034.79572	3204.60882
soc_959	1191.59572	3043.16754
soc_961	877.99572	3043.16754
soc_964	1034.79572	2881.72626
soc_967	1191.59572	2720.28498
soc_969	877.99572	2720.28498
soc_972	1034.79572	2558.8437
soc_975	1191.59572	2397.40242
soc_977	877.99572	2397.40242
soc_980	1034.79572	2235.96114
soc_983	1191.59572	2074.51986
soc_985	877.99572	2074.51986
soc_988	1034.79572	1913.07858
soc_991	1191.59572	1751.6373
soc_993	877.99572	1751.6373
soc_996	1034.79572	1590.19602
soc_999	1191.59572	1428.75474
soc_1001	877.99572	1428.75474
soc_1004	1034.79572	1267.31346
soc_1007	1191.59572	1105.87218
soc_1009	877.99572	1105.87218
soc_1012	1034.79572	944.4309
soc_1015	1191.59572	782.98962
soc_1017	877.99572	782.98962
soc_1020	1034.79572	621.54834
soc_1023	1191.59572	460.10706
soc_1025	877.99572	460.10706
soc_1028	1034.79572	298.66578
soc_804	407.59572	7050.86382
soc_816	407.59572	3822.03822
soc_825	407.59572	4144.92078
soc_833	407.59572	4467.80334
soc_841	407.59572	4790.6859
soc_849	407.59572	5113.56846
soc_857	407.59572	5436.45102
soc_865	407.59572	5759.33358
soc_873	407.59572	6082.21614
soc_881	407.59572	6405.0987
soc_889	407.59572	6727.98126
soc_957	407.59572	3204.60882
soc_958	93.99572	3204.60882
soc_966	407.59572	2881.72626
soc_974	407.59572	2558.8437
soc_982	407.59572	2235.96114
soc_990	407.59572	1913.07858
soc_998	407.59572	1590.19602
soc_1006	407.59572	1267.31346
soc_1014	407.59572	944.4309
soc_1022	407.59572	621.54834
soc_1030	407.59572	298.66578
soc_563	250.79572	3660.59694
soc_545	250.79572	3822.03822
soc_658	3386.79572	2237.59872
soc_721	3700.39572	1268.95104
soc_807	1348.39572	2721.92256
soc_806	1505.19572	2399.04
soc_805	1348.39572	2399.04
soc_808	1505.19572	2721.92256
soc_409	3700.39572	4496.13906
soc_469	3700.39572	4011.81522
soc_529	3700.39572	3527.49138
soc_580	3700.39572	3044.80512
soc_626	3700.39572	2560.48128
soc_672	3700.39572	2076.15744
soc_709	3700.39572	1591.8336
soc_727	3700.39572	1107.50976
soc_742	3700.39572	623.18592
soc_760	3386.79572	300.30336
soc_597	3543.59572	2883.36384
soc_598	3386.79572	2883.36384
